UNDERLYING                          ,SYMBOL    ,FEB-18     ,MAR-18     ,APR-18     ,JUN-18     ,SEP-18     ,DEC-18     ,JAN-18     ,JUN-19     ,DEC-19     ,JUN-20     ,DEC-20     ,JUN-21     ,DEC-21     ,JUN-22     ,DEC-22     
NIFTY BANK                          ,BANKNIFTY ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,75         ,75         ,75         ,75         ,75         ,75         ,           ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         
FTSE 100 INDEX                      ,FTSE100   ,100        ,100        ,100        ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY IT                            ,NIFTYIT   ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY CPSE                          ,NIFTYCPSE ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY MIDCAP 50                     ,NIFTYMID50,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY INFRASTRUCTURE                ,NIFTYINFRA,225        ,225        ,225        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY PSE                           ,NIFTYPSE  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIA VOLATILITY INDEX              ,INDIAVIX  ,900        ,           ,           ,           ,           ,           ,900        ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,FEB-18     ,MAR-18     ,APR-18     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI PORT & SEZ LTD                ,ADANIPORTS,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
