SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
ABANLLOYD,EQ,143.7,144.3,142,142.95,142.4,140.85,2776,398662.95,22-MAR-2003,
ABB,EQ,298.5,305,296,302.9,303.15,297.75,13938,4191204.7,22-MAR-2003,
ABBALPO,EQ,52.35,52.9,51.5,52.3,51.5,51.95,9977,522347.8,22-MAR-2003,
ABBOTTLAB,EQ,100,103,97.35,97.65,97.35,102.65,2324,231910,22-MAR-2003,
ABSHEKINDS,EQ,6.3,6.4,6.3,6.4,6.4,6.45,991,6322.4,22-MAR-2003,
ABSIND,EQ,64.75,66,64.75,66,66,64.9,1025,67228.75,22-MAR-2003,
ACC,EQ,143.25,143.25,138.45,139.05,139.4,138.4,215372,29996785.4,22-MAR-2003,
ADANIEXPO,EQ,127.25,127.35,125,126.75,125.15,127.5,5726,727640.35,22-MAR-2003,
ADLABSFILM,EQ,46,46.7,46,46.5,46.6,46.05,8912,414089.2,22-MAR-2003,
ADVANIORLI,EQ,31.4,31.4,31,31.15,31,31.4,200,6240,22-MAR-2003,
AEGISCHEM,EQ,8.2,8.25,7.7,7.85,7.85,7.8,380,2985.75,22-MAR-2003,
AFTEKINFO,EQ,162.25,164.4,158.6,160.1,160.6,159.9,831661,134049684.25,22-MAR-2003,
AGEEGOLD,EQ,42.05,45,42.05,45,45,41.9,14,609.35,22-MAR-2003,
AGREVOIND,EQ,141.6,142.05,141.6,142.05,142.05,143.75,650,92062.5,22-MAR-2003,
AGRODUTCH,EQ,9.3,9.3,8.85,9,8.9,9,1950,17525,22-MAR-2003,
AJANTPHARM,EQ,24.75,24.75,24.05,24.45,24.15,24.7,3503,85851,22-MAR-2003,
AKSHOPTFBR,EQ,17.4,17.4,16.95,17.05,16.95,17.2,1535,26319.9,22-MAR-2003,
ALBK,EQ,13.6,13.8,13.5,13.65,13.65,13.3,109510,1491859.6,22-MAR-2003,
ALEMBICLTD,EQ,146.85,147.1,146,146.05,147,147.2,469,68724.7,22-MAR-2003,
ALFALAVAL,EQ,242.35,242.4,242.35,242.35,242.4,243.1,85,20600.25,22-MAR-2003,
ALOKTEXT,EQ,10.4,10.6,10.3,10.35,10.4,10.25,20201,209442.85,22-MAR-2003,
ALPSINDUS,EQ,18.75,18.75,18.75,18.75,18.75,17.55,3,56.25,22-MAR-2003,
AMARAJABAT,EQ,51.05,52.3,51.05,52.1,51.75,50.65,3766,195041.45,22-MAR-2003,
AMBUJARAJN,EQ,2.85,2.9,2.8,2.9,2.9,2.8,2830,8113,22-MAR-2003,
AMTEKAUTO,BE,0,0,0,194.75,469,191.8,1400,268800,22-MAR-2003,
AMTREXAPPL,EQ,19.55,20.45,19.55,20.35,20.35,20.4,2345,47494.25,22-MAR-2003,
ANDHRABANK,EQ,27.9,27.9,27.4,27.5,27.5,27.4,632000,17427277.15,22-MAR-2003,
APCOTEXLAT,EQ,23.8,23.8,23.75,23.75,23.75,24.2,593,14088.75,22-MAR-2003,
APOLLOHOSP,EQ,101.25,102.5,100.4,100.7,100.75,100.9,63487,6422093.4,22-MAR-2003,
APOLLOTYRE,EQ,125,127.4,124.5,125.95,125,124.85,25570,3224135.35,22-MAR-2003,
APTECHT,EQ,32.95,33,32.8,32.95,32.9,32.95,28949,953275.15,22-MAR-2003,
ARCHIES,EQ,55.95,57,55,55.6,55,56.5,1506,83760.4,22-MAR-2003,
ARHAMFISCL,EQ,6,6.2,5.95,6.05,5.95,5.9,20041,120928.05,22-MAR-2003,
ARIHANTCRE,EQ,2.15,2.15,2.05,2.1,2.1,2.05,30300,63945,22-MAR-2003,
ARL,EQ,3.55,3.8,3.3,3.8,3.8,3.15,88651,324458.85,22-MAR-2003,
ARVINDMILL,EQ,20,20.25,19.9,20,19.95,19.9,141530,2835153.5,22-MAR-2003,
ASAHIINDIA,EQ,37.4,37.4,37.4,37.4,37.4,37.5,100,3740,22-MAR-2003,
