SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,86,86.5,85,86,86.5,86.45,22636,1941351.75,15-NOV-2003,
AARTIIND,EQ,152,156,152,153.55,154.4,155.2,29074,4501094.55,15-NOV-2003,
ABANLLOYD,EQ,400,419,400,416.65,418,402.25,17089,7046226.35,15-NOV-2003,
ABB,EQ,513,521,505,507.85,508,510.8,7407,3776672,15-NOV-2003,
ABSHEKINDS,EQ,10,10.25,9.65,10.1,10.2,9.7,39196,392965.55,15-NOV-2003,
ABSIND,EQ,119.7,122.5,117.1,120.95,122,118,15125,1814695.25,15-NOV-2003,
ACC,EQ,222,230.9,222,227.7,230.35,223.5,1329976,300222852.9,15-NOV-2003,
ADANIEXPO,EQ,205,207.45,201.35,205.05,206.5,205.35,14936,3054712.05,15-NOV-2003,
ADLABSFILM,EQ,83.5,87.8,83.5,85.15,85.05,83.95,43960,3759422.55,15-NOV-2003,
ADVANIORLI,EQ,38,38.5,32.2,38.1,38,39,2091,78086.7,15-NOV-2003,
AFTEKINFO,BE,265,275,263.2,265.6,266,264.15,3370,900352.85,15-NOV-2003,
AGEEGOLD,EQ,22.8,22.8,20.65,20.7,20.75,19.9,3,64.2,15-NOV-2003,
AGREVOIND,EQ,320,334.9,320,332.2,330,323.55,622,204340.1,15-NOV-2003,
AGRODUTCH,EQ,25.5,25.8,25,25.25,25,25.4,4350,109884.95,15-NOV-2003,
AHMEDELEC,EQ,87.15,96.5,87.15,93.9,95.5,89.3,54805,5086144.8,15-NOV-2003,
AHMEDFORGE,EQ,62.85,62.85,62.8,62.85,62.85,61.6,15246,958211.05,15-NOV-2003,
AJANTPHARM,EQ,51.55,54.45,51.55,53.8,54.45,52.45,9543,507711.85,15-NOV-2003,
AKSHOPTFBR,EQ,19.65,19.85,19.25,19.45,19.85,19.6,15545,302425,15-NOV-2003,
ALBK,EQ,22.1,22.25,21.7,21.95,22.05,22.05,162483,3571362.7,15-NOV-2003,
ALEMBICLTD,EQ,322,322,306.1,312.75,318.7,320.3,3188,999527.15,15-NOV-2003,
ALFALAVAL,EQ,441,445,438,438.65,438,441.6,1219,537798.55,15-NOV-2003,
ALOKTEXT,EQ,43.5,48.1,43.5,48.05,48.1,43.7,977712,46226922.35,15-NOV-2003,
ALPSINDUS,EQ,33.65,34.45,32.05,32.65,33.2,33.15,1511,48954.45,15-NOV-2003,
AMARAJABAT,EQ,69.9,69.9,67.75,69.15,69.85,68.15,4341,297506.85,15-NOV-2003,
AMBUJARAJN,EQ,6.95,7.15,6.5,6.95,7.15,6.5,96755,668953.05,15-NOV-2003,
AMITSPIN,BE,2.7,2.7,2.7,2.7,2.7,2.75,4990,13473,15-NOV-2003,
AMTEKAUTO,EQ,305,313.5,302,308.95,310,301.65,3851,1183790.2,15-NOV-2003,
AMTREXAPPL,EQ,22.75,23.45,22.75,23.45,23.45,23.05,1700,39220,15-NOV-2003,
ANDHRABANK,EQ,44.1,44.25,43.5,44,44.2,44.25,222805,9759319.3,15-NOV-2003,
