SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,82.35,87.25,82,86.65,86.5,83.55,88381,7600112.05,25-OCT-2003,
AARTIIND,EQ,161.95,169.8,161.95,163.3,163.5,158.05,42683,6953420.2,25-OCT-2003,
ABANLLOYD,EQ,360,372,353,367.65,366.35,355.9,4868,1788383.8,25-OCT-2003,
ABB,EQ,513,513,500,508.9,506.65,510.3,9868,5025491.45,25-OCT-2003,
ABSHEKINDS,EQ,8.5,9,8.25,8.55,8.6,8.15,7709,65752.4,25-OCT-2003,
ABSIND,EQ,114.25,115,110.05,111.9,111.1,111.6,5096,572929.15,25-OCT-2003,
ACC,EQ,199,208.4,199,205.8,208.4,199.2,1771544,362527512.65,25-OCT-2003,
ADANIEXPO,EQ,198.5,202.8,197,200,199.45,195.95,16097,3195130.25,25-OCT-2003,
ADLABSFILM,EQ,71,72,70.05,71.25,71.9,69.4,10340,736603.55,25-OCT-2003,
ADVANIORLI,EQ,39.95,40.4,39.05,40,40.4,37.5,6161,246435.6,25-OCT-2003,
AEGISCHEM,BE,8.5,8.5,8.5,8.5,8.5,9.05,600,5100,25-OCT-2003,
AFTEKINFO,BE,276.5,276.9,266.5,269.85,272.85,267.4,1725,466904.9,25-OCT-2003,
AGEEGOLD,EQ,20.2,20.2,20.2,20.2,20.2,19.85,50,1010,25-OCT-2003,
AGREVOIND,EQ,232,240,230,236.65,236,227.65,2550,607400,25-OCT-2003,
AGRODUTCH,EQ,26.8,27,26,26.85,27,26.3,4610,123161.6,25-OCT-2003,
AHMEDELEC,EQ,77.4,77.75,76,76.9,76.95,75.6,15202,1169437.25,25-OCT-2003,
AHMEDFORGE,EQ,50.6,50.6,49.9,50.4,50.6,50.5,760,38367.8,25-OCT-2003,
AJANTPHARM,EQ,52,52,50.25,51.65,51.55,50.6,19800,1020829,25-OCT-2003,
AKSHOPTFBR,EQ,19.5,20.6,19,20.45,20.55,20.25,5851,118571.35,25-OCT-2003,
ALBK,EQ,24.4,24.4,23.75,24.05,24.15,23.45,956804,22959316.75,25-OCT-2003,
ALEMBICLTD,EQ,325,335,325,331.65,332,328.95,4860,1606970.2,25-OCT-2003,
ALFALAVAL,EQ,385,390,380,381.85,380,380.15,948,361991.25,25-OCT-2003,
ALOKTEXT,EQ,36.2,37,35.55,36,36,35,191215,6900751.3,25-OCT-2003,
AMARAJABAT,EQ,65.8,66.2,64.8,65.4,65,64.8,2124,139043.75,25-OCT-2003,
AMBUJARAJN,EQ,5.35,5.45,5.3,5.35,5.45,5.15,47474,256273.25,25-OCT-2003,
AMTEKAUTO,EQ,242.95,242.95,236.5,238.65,241.65,237.65,1410,336747,25-OCT-2003,
AMTREXAPPL,EQ,21.8,22.8,21.5,22.8,22.8,21.75,500,11130,25-OCT-2003,
ANDHRABANK,EQ,45.5,45.5,44.55,45.05,45.1,44.3,652354,29312580.95,25-OCT-2003,
ANDHRSUGAR,EQ,44.4,44.4,43.3,43.55,43.4,42.15,4105,178852,25-OCT-2003,
APCOTEXLAT,EQ,32.3,33.15,32.3,33.15,33.15,33.45,36,1178.1,25-OCT-2003,
APIL,EQ,114.5,117,113.55,115.15,114.2,112.25,17228,1979178.85,25-OCT-2003,
APOLLOHOSP,EQ,155.1,159.8,155,157.8,158,154.5,10949,1727093.6,25-OCT-2003,
APOLLOTYRE,EQ,205.9,208.4,205,207.5,207.1,204.65,64125,13255449.3,25-OCT-2003,
APTECHT,EQ,55.6,56,54.5,55,54.75,54.35,80668,4449399.2,25-OCT-2003,
ARCHIES,EQ,56.5,56.5,55.1,55.85,55.45,55,1400,78094.5,25-OCT-2003,
ARHAMFISCL,EQ,8,8.7,7.85,8.5,8.65,8,45003,381684.6,25-OCT-2003,
ARL,BE,3.05,3.1,3,3.05,3.05,2.95,193022,588615.25,25-OCT-2003,
ARVINDMILL,EQ,46.5,46.9,45.3,45.7,45.75,45.45,486956,22232903.5,25-OCT-2003,
ASAHIINDIA,EQ,99,99,97,97.35,97,95.25,3812,373654.15,25-OCT-2003,
ASAL,EQ,68,68.75,67.4,67.4,67.4,68.75,16175,1097667.5,25-OCT-2003,
ASHAPURMIN,EQ,94,94,94,94,94,94.95,200,18800,25-OCT-2003,
ASHKLEYFIN,EQ,69.9,69.9,67,68.75,68.85,69.25,6691,456575.3,25-OCT-2003,
ASHOKLEY,EQ,224.7,229,224.25,227.3,227.1,220.15,273672,62084840.9,25-OCT-2003,
ASIANELEC,EQ,63.6,68.4,63.6,67.95,67.4,64.25,2778,185538.55,25-OCT-2003,
ASIANHOTEL,EQ,126.5,129,124,127.5,129,124.05,4460,562138.8,25-OCT-2003,
ASIANPAINT,EQ,295,295,288.5,290.05,290.5,289.45,14129,4106977.6,25-OCT-2003,
ASTRAIDL,EQ,645,645,624,624,624,624.95,21,13524,25-OCT-2003,
ATCOIND,EQ,10.2,10.2,9.75,9.85,9.9,9.55,5150,50655,25-OCT-2003,
ATFL,EQ,60.85,60.9,59.5,60.45,60.9,58.3,4527,273193.1,25-OCT-2003,
ATLASCYCLE,EQ,71,71,71,71,71,70.1,60,4260,25-OCT-2003,
ATNINT,EQ,3.45,3.85,3.45,3.8,3.85,3.75,8700,32315,25-OCT-2003,
ATULPROD,EQ,45,45.95,44.05,45.4,45.7,45.3,720,32679.6,25-OCT-2003,
AUROPHARMA,EQ,302.75,312.5,297,309.2,311.5,590.25,160040,49104464.7,25-OCT-2003,
AUTOAXLES,EQ,194,202,194,200.8,201,202.75,2835,564258.75,25-OCT-2003,
AVENTIS,EQ,472.1,485,472.1,483.25,484,476,1022,492541.15,25-OCT-2003,
AZTEC,EQ,25.4,25.4,24.25,24.75,24.8,24.4,11280,278545.7,25-OCT-2003,
BAGFILMS,E1,3.1,4.4,3.1,3.85,3.95,3.75,8650,33767.5,25-OCT-2003,
BAGFILMS,EQ,11,11.3,10.3,10.85,10.9,10.45,37036,399498.2,25-OCT-2003,
BAJAJAUTO,EQ,889,889,852,864.75,862.6,854.8,12449,10768763.55,25-OCT-2003,
BAJAJHIND,EQ,159,159,145.65,150.7,151,145.2,1589,239715,25-OCT-2003,
BAJAUTOFIN,EQ,70,72.35,68,69.65,69.7,69.85,1970,136683.5,25-OCT-2003,
BALAJIDIST,BE,4,4.15,4,4.05,4.15,4,2500,10150,25-OCT-2003,
BALAJITELE,EQ,66.5,68.45,66,67.05,67.15,65.45,91115,6109948.1,25-OCT-2003,
BALMLAWRIE,EQ,101.95,103,100.7,101.7,102.35,100.1,1835,186329.5,25-OCT-2003,
BALRAMCHIN,EQ,165,170,165,166.45,166,162.6,14599,2443871.15,25-OCT-2003,
BANARISUG,EQ,160,164,158,158.5,160,155,105,16800,25-OCT-2003,
BANKBARODA,EQ,181.35,184.8,179,181.1,181.6,178.65,536293,97105294.7,25-OCT-2003,
BANKINDIA,EQ,68,69.65,67.75,69.35,69.5,67.15,2731389,188198985.45,25-OCT-2003,
BANKPUNJAB,EQ,25.05,25.6,24.9,25.4,25.5,24.65,168158,4264219.5,25-OCT-2003,
BANKRAJAS,EQ,32.05,32.5,31.45,31.75,31.85,31.2,925735,29526298.25,25-OCT-2003,
BASF,EQ,154,154,148.5,149.95,150,147.65,8859,1330538.05,25-OCT-2003,
BATAINDIA,EQ,41.15,42.4,40.1,42.15,42.25,40.65,59099,2476063.8,25-OCT-2003,
BBTC,EQ,43.1,43.1,43.1,43.1,43.1,44.1,350,15085,25-OCT-2003,
BEL,EQ,485.9,514,485.9,493.05,493.95,487.05,32282,15935734.7,25-OCT-2003,
BELCERAMIC,BE,5.3,6,5.3,5.85,6,5.5,1300,7530,25-OCT-2003,
BEML,EQ,201.15,203.3,198,202.05,202.5,196.5,431580,86790451.8,25-OCT-2003,
BERGEPAINT,EQ,119,120,117.25,118.45,119.15,120.65,2164,256347.6,25-OCT-2003,
BFLSOFTWAR,EQ,510,520.05,508.1,515.3,516.8,517.45,6060,3125940,25-OCT-2003,
BGFL,EQ,23.6,24.5,23.6,24.05,24.5,23.6,3600,86035,25-OCT-2003,
BHARATFORG,EQ,520.25,535,515.05,519.4,520,515.3,24342,12703073.65,25-OCT-2003,
BHARTI,EQ,78.2,78.65,77.5,78.3,78.5,77.3,754410,58943957.65,25-OCT-2003,
BHEL,EQ,428,440,428,431.8,431,427.85,50210,21689339.05,25-OCT-2003,
BIL,EQ,30,30,27.5,27.5,27.7,26.55,202,5557.7,25-OCT-2003,
BILT,EQ,73.1,79,73.05,74.05,74.5,72.45,78510,5836376.85,25-OCT-2003,
BINDALAGRO,BE,4.1,4.3,4.1,4.2,4.3,4.15,2800,11945,25-OCT-2003,
BIRLA3M,EQ,401.5,410,401.5,407.35,406,404.35,235,94720,25-OCT-2003,
BIRLAERIC,EQ,12.5,12.5,12,12.4,12.5,12.05,3421,42218.95,25-OCT-2003,
BIRLAJUTE,EQ,44.9,46.7,43.5,46.25,46.5,44.35,44972,2059141.7,25-OCT-2003,
BLUEDART,EQ,103.95,107.8,103.7,106.3,106,103.1,2795,294879.05,25-OCT-2003,
BLUESTARCO,EQ,115,115,111.05,111.8,112.75,110.05,1297,146043.85,25-OCT-2003,
BLUESTINFO,EQ,154,154,152,152.3,152,150.45,1111,169995,25-OCT-2003,
BOMDYEING,EQ,126.5,126.9,122,124.6,124.5,121.5,93687,11694622.9,25-OCT-2003,
BONGAIREFN,EQ,87,91.8,87,91.1,91.35,84.8,3370321,304215036.15,25-OCT-2003,
BPCL,EQ,328.85,334.9,327.25,332.15,332.65,324.5,290492,96060712,25-OCT-2003,
BPL,EQ,38.8,38.8,37,37.3,37.5,35.9,14576,543056.55,25-OCT-2003,
BPLENGG,BE,4.5,4.5,4.5,4.5,4.5,4,1,4.5,25-OCT-2003,
BRITANNIA,EQ,553.3,577.5,553.25,559.1,560,561.2,2278,1272525.2,25-OCT-2003,
BSES,EQ,432,498,429.2,434.35,432.9,430.1,97133,42066702.2,25-OCT-2003,
CADILAHC,EQ,314.9,314.9,309,310.7,311,308.35,22959,7144125.7,25-OCT-2003,
CANBK,EQ,146.9,153.9,145.3,146.65,146.5,143.85,1757501,257538865.95,25-OCT-2003,
CANFINHOME,EQ,42.1,42.95,42,42.7,42.5,41.85,7747,329549.7,25-OCT-2003,
