SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,77,78.75,76.5,78.1,78.05,76.75,10977,855897.05,17-APR-2004,
AARTIIND,EQ,185.25,186,184.5,184.7,184.5,184.05,9071,1682347.5,17-APR-2004,
ABANLLOYD,EQ,490,495.9,489,490.8,495,491.4,2111,1039202,17-APR-2004,
ABB,EQ,781,790,776,778.7,776,783.9,2341,1832250.6,17-APR-2004,
ABSHEKINDS,EQ,14,14.5,13.3,14.5,14.5,13.8,36244,509306.2,17-APR-2004,
ABSIND,EQ,99,101.45,99,100.3,101.45,99.8,2835,283600,17-APR-2004,
ACC,EQ,281,281,275.6,276.65,275.6,278.7,455033,126142880.35,17-APR-2004,
ADANIEXPO,EQ,439.9,448,435,441.95,443.05,426.5,57805,25438320.1,17-APR-2004,
ADLABSFILM,EQ,100.5,104.95,99,103.7,103,99.2,57391,5843409.15,17-APR-2004,
ADVANIORLI,EQ,31.9,31.9,31.6,31.6,31.6,31.9,155,4914.25,17-APR-2004,
AEGISCHEM,EQ,22.25,22.3,20.6,22.15,22.05,20.5,9075,198505.5,17-APR-2004,
AFTEKINFO,EQ,72.95,76.5,70.6,75.85,76,72.2,237988,17841330.7,17-APR-2004,
AGEEGOLD,EQ,35,35,35,35,35,35.45,200,7000,17-APR-2004,
AGRODUTCH,EQ,34.65,36.85,34.5,36.2,36,34.1,17173,614392.25,17-APR-2004,
AHMEDELEC,EQ,99,106.9,98.5,105.95,105.55,99.2,49991,5251664.05,17-APR-2004,
AHMEDFORGE,EQ,83.5,83.5,83.5,83.5,83.5,81.85,125,10437.5,17-APR-2004,
AJANTPHARM,EQ,44.5,45.5,44.25,45,45,44.25,31314,1405680,17-APR-2004,
AKSHOPTFBR,EQ,15.85,16.65,15.2,16.25,16.15,15.6,27301,437014.95,17-APR-2004,
ALBK,EQ,37,38.8,37,38.4,38.6,37.1,1237898,46950196.6,17-APR-2004,
ALEMBICLTD,EQ,175.4,176.95,174,175,175,174.4,15522,2720424.4,17-APR-2004,
ALFALAVAL,EQ,555.6,555.6,535.35,553.95,550,557.6,1566,856441.35,17-APR-2004,
ALOKTEXT,EQ,54,54,53,53.75,54,53.55,31782,1701984.55,17-APR-2004,
ALPSINDUS,EQ,34.7,37.9,34.5,37.15,37.9,33.4,25260,924921.85,17-APR-2004,
AMARAJABAT,EQ,62,65.5,62,64.4,65.25,62.6,10832,690869.2,17-APR-2004,
AMBUJARAJN,EQ,6.55,6.8,6.45,6.65,6.65,6.35,162567,1076616.2,17-APR-2004,
AMITSPIN,EQ,2.55,2.9,2.55,2.8,2.75,2.7,1752,4668,17-APR-2004,
AMTEKAUTO,EQ,431.45,442.9,431.45,439.25,439,429.85,28853,12632027.95,17-APR-2004,
AMTREXAPPL,EQ,23.35,23.5,23.35,23.5,23.5,23.55,50,1171.25,17-APR-2004,
ANDHRABANK,EQ,58.4,62.55,56.75,62.1,62.45,57.8,6144674,371439015.3,17-APR-2004,
ANDHRSUGAR,EQ,64,66.5,63.2,65.1,66.5,63,54485,3530889.85,17-APR-2004,
ANTGRAPHIC,EQ,2.8,2.95,2.8,2.95,2.95,3.15,2112,6119.2,17-APR-2004,
APCOTEXLAT,EQ,34,37,34,35.95,36,34,4266,152795.45,17-APR-2004,
APIL,EQ,119,121,117.85,119.7,120,115.7,24670,2941617,17-APR-2004,
APOLLOHOSP,EQ,220,221,215,215.6,215.05,219.2,43036,9334140.6,17-APR-2004,
APOLLOTYRE,EQ,250.05,256.9,247.2,251.8,253.8,253.5,7794,1957854.1,17-APR-2004,
APTECHT,EQ,51.6,51.6,50.3,50.8,50.9,51.05,53221,2710576.45,17-APR-2004,
ARCHIES,EQ,55.65,60.5,55.65,59.65,60.5,59.3,3558,210543.4,17-APR-2004,
ARHAMFISCL,EQ,8.6,8.85,8.3,8.7,8.7,8.4,56685,486452.75,17-APR-2004,
ARL,EQ,2.05,2.2,2.05,2.15,2.2,2.1,343061,731299.8,17-APR-2004,
ARVINDMILL,EQ,54.35,55.25,52.5,54.65,55,53.85,509956,27533796.95,17-APR-2004,
ASAHIINDIA,EQ,135,136.3,134.55,136,136,134.95,39173,5324483,17-APR-2004,
ASAL,EQ,60,60.5,59,59.35,59,60,1850,110045,17-APR-2004,
ASHAPURMIN,EQ,114.45,133,114.2,122.8,124.35,113.1,1716,204027.05,17-APR-2004,
ASHIMASYN,EQ,12.5,13.5,12.4,13.35,13.5,12.5,6027,79761.55,17-APR-2004,
ASHKLEYFIN,EQ,104,105.5,101.75,103.75,103.2,104.55,7958,821426.75,17-APR-2004,
ASHOKLEY,EQ,285,285,275,278.1,278.85,284.5,50931,14197723.3,17-APR-2004,
ASIANELEC,EQ,49.5,54.3,49.5,53.5,54,51.3,5948,316844.8,17-APR-2004,
ASIANHOTEL,EQ,205.3,208,205.25,207.75,207,207.3,1990,412247.25,17-APR-2004,
ASIANPAINT,EQ,309.9,309.9,304,305.5,306.95,304.8,5187,1584427.75,17-APR-2004,
ASTRAIDL,EQ,930,930,832,842,842,868.7,61,51281.5,17-APR-2004,
ATCOIND,EQ,8.15,9.05,8.05,8.8,8.65,8.1,19351,167110.85,17-APR-2004,
ATFL,EQ,55,59.9,54.7,59.05,59.4,54.45,25442,1467617.9,17-APR-2004,
ATLASCYCLE,EQ,84,85,83.5,84.4,83.5,81.8,800,67601.25,17-APR-2004,
ATNINT,EQ,3,3,2.7,2.85,2.85,2.75,41403,116838.45,17-APR-2004,
ATULPROD,EQ,36.5,38.5,36.5,37.9,38.2,36.6,14566,551698.75,17-APR-2004,
AUROPHARMA,EQ,374.7,374.8,370,371.15,372,372.8,14156,5267377.9,17-APR-2004,
AUTOAXLES,EQ,202,202,202,202,202,202.1,200,40400,17-APR-2004,
AUTORIDFIN,EQ,1.5,1.55,1.5,1.55,1.55,1.55,300,457.5,17-APR-2004,
AVENTIS,EQ,713,725,713,720.1,725,708.4,3335,2411572,17-APR-2004,
AZTEC,EQ,26.1,26.85,25,25.4,25.55,26,25127,647050.35,17-APR-2004,
BAGFILMS,EQ,8.8,9.8,8.7,9.8,9.8,8.15,179558,1684482.45,17-APR-2004,
BAGYAMETAL,EQ,36,36,36,36,36,34.65,30,1080,17-APR-2004,
BAJAJAUTO,EQ,934.8,951,926.05,946.85,944.45,929.95,45246,42502291.25,17-APR-2004,
BAJAJHIND,EQ,540,550.35,534,550.35,550.35,524.1,23681,12988138.3,17-APR-2004,
BAJAJPLAST,EQ,1.9,1.9,1.9,1.9,1.9,2,200,380,17-APR-2004,
BAJAUTOFIN,EQ,82,86.45,82,85.7,85.55,85.2,1610,136466.5,17-APR-2004,
BALAJITELE,EQ,94.9,94.9,92.25,92.6,92.25,93.2,29439,2743921.1,17-APR-2004,
BALASPONGE,EQ,16.5,17.9,16.5,17.4,17.3,16.7,24635,428993,17-APR-2004,
BALMLAWRIE,EQ,111.7,116,111.7,114.1,114,116.05,2901,331862.9,17-APR-2004,
BALRAMCHIN,EQ,409,409,396.1,399.7,398.1,399.35,18307,7344653.15,17-APR-2004,
BANARISUG,EQ,365.75,365.75,358.3,364.25,364.9,364.65,4306,1561794.2,17-APR-2004,
BANKBARODA,EQ,260.9,264.2,257.05,262.35,263.35,259.35,747133,194909457.05,17-APR-2004,
BANKINDIA,EQ,75.3,77.35,74,76.75,77.35,74.9,1452748,110486024.5,17-APR-2004,
BANKPUNJAB,EQ,28.6,29.5,27.85,29.15,29.45,28.5,726360,20936484.8,17-APR-2004,
BANKRAJAS,EQ,44.4,45.75,43.25,44.9,44.85,44.2,774469,34682484.15,17-APR-2004,
BASF,EQ,132.55,134,131.2,133.4,134,133.7,7261,965608.9,17-APR-2004,
BATAINDIA,EQ,76,86.4,74,83.75,83.75,72.85,1174247,95914098.35,17-APR-2004,
BBTC,EQ,60,61,59.1,59.95,59.95,61.1,525,31370,17-APR-2004,
BEL,EQ,525.1,539.9,524.1,533.4,535.5,523.55,46766,24911029.4,17-APR-2004,
BELCERAMIC,EQ,11.95,12.5,11.95,12.3,12.5,12,10043,122192.15,17-APR-2004,
BEML,EQ,184,192.75,184,191.35,192.4,184.15,380695,72438445.1,17-APR-2004,
BERGEPAINT,EQ,116,116.75,115,115.9,116,115.7,3601,417231.3,17-APR-2004,
BFLSOFTWAR,EQ,564.5,577.85,560,567.2,568.9,562.75,9133,5179373.6,17-APR-2004,
BGFL,EQ,38.9,39.5,38.25,39,39.5,38.65,1900,73532.5,17-APR-2004,
BHARATFORG,EQ,817,817,803,805.15,805,819.9,4676,3772940.9,17-APR-2004,
BHARATGEAR,EQ,21.6,23.85,21.5,23.8,23.75,23.2,510,11685,17-APR-2004,
BHARATRAS,EQ,27.2,27.2,26,26.15,27,26.2,70,1842,17-APR-2004,
BHARTI,EQ,169.7,174.85,169.25,173.55,174.35,169.1,1090501,188573630.35,17-APR-2004,
BHEL,EQ,644,647,637,640.3,642,644.05,89177,57344442.75,17-APR-2004,
BHUSANSTL,EQ,71.3,72.85,70.9,72.35,72.5,71.9,4977,357370.2,17-APR-2004,
BIL,EQ,34,37.4,33.6,37,36.8,34.1,15087,549542.1,17-APR-2004,
BILT,EQ,65.5,69.55,65.5,68.9,69.35,65.2,313645,21362323.65,17-APR-2004,
BINDALAGRO,EQ,5.5,6.1,5.5,5.95,5.9,5.6,72126,424610.05,17-APR-2004,
BIOCON,EQ,650,651.9,626.05,630.3,632.25,645.95,1112119,708342148.3,17-APR-2004,
BIRLA3M,EQ,490,492,485.3,489.4,485.6,500,175,85650,17-APR-2004,
BIRLAERIC,EQ,13.7,15.4,13.55,14.95,15.1,13.8,50822,748277.35,17-APR-2004,
BIRLAJUTE,EQ,78.9,79.35,77.1,77.95,77.5,77.9,109270,8549457,17-APR-2004,
BLUEDART,EQ,139,139.95,138,138,138,139.95,660,91805,17-APR-2004,
BLUESTARCO,EQ,157,166,157,163.95,163.75,161,4238,696764.85,17-APR-2004,
BLUESTINFO,EQ,220.9,220.9,198,199.9,202,202.55,1640,328847,17-APR-2004,
BOMDYEING,EQ,149,149.9,147.55,148.7,148.85,148.15,19521,2905086.95,17-APR-2004,
BONGAIREFN,EQ,81.95,84.65,81.5,83.55,83.55,81.65,970055,80826564.95,17-APR-2004,
BPCL,EQ,490,498.65,488.5,495,496.95,489.2,180639,89108281.65,17-APR-2004,
BPL,EQ,32.55,35.4,32.55,34.5,34.55,32.6,65681,2256210,17-APR-2004,
BPLENGG,EQ,4.5,5.4,4.5,5.05,5.05,4.5,11102,55254.25,17-APR-2004,
BPLREFRIG,EQ,1.5,1.9,1.5,1.9,1.9,1.85,501,751.9,17-APR-2004,
BPLSANTECH,EQ,1.4,2.1,1.4,2.05,2.05,1.75,13780,27156.85,17-APR-2004,
BPLSANUTIL,EQ,2.5,2.5,2.5,2.5,2.5,2.6,1,2.5,17-APR-2004,
BRITANNIA,EQ,605.2,613.9,605.05,606.75,606.1,608.75,1219,741990.85,17-APR-2004,
BSELINFRA,EQ,35.1,38,35,38,38,37,450,16282.5,17-APR-2004,
BSL,EQ,25.5,25.9,25,25.05,25.9,25.4,977,24928.55,17-APR-2004,
CADILAHC,EQ,540,544.5,530.05,535.7,540,540.35,15802,8469109.05,17-APR-2004,
CALSOFT,EQ,23.75,23.75,23.75,23.75,23.75,22.15,1,23.75,17-APR-2004,
CANBK,EQ,183,183,174.15,175.8,175.6,174.55,1662081,292959820.15,17-APR-2004,
CANFINHOME,EQ,42.6,45.9,42.6,44.7,45,43.15,20110,902722.4,17-APR-2004,
CARBORUNIV,EQ,218.9,229.9,218.9,225,225,219.25,1551,352535.6,17-APR-2004,
CEAT,EQ,39.05,42,38.5,41.15,42,38.75,49364,2000534.2,17-APR-2004,
CENBNK,EQ,12.4,14.35,12.05,14,14.35,11.95,6253611,83578015.1,17-APR-2004,
CENTENKA,EQ,134,134.95,132,132.7,132.95,133.15,12150,1618385.4,17-APR-2004,
CENTURYTEX,EQ,108,108.5,106,107.95,108.25,107.15,82407,8825102.6,17-APR-2004,
CESC,EQ,108.25,116.15,108.25,114.65,116,107.65,297666,33708100.5,17-APR-2004,
CGIGARSH,EQ,66.05,69,66,68.45,67.75,67.3,4689,316560.05,17-APR-2004,
CHAMBLFERT,EQ,20.5,21.65,20.35,21.45,21.45,20.3,1067412,22677275.4,17-APR-2004,
CHEMPLAST,EQ,27.05,27.05,27,27,27,26.75,75,2026.25,17-APR-2004,
CHENNPETRO,EQ,148.4,149.7,145.55,147.8,147.2,148.4,167451,24756225.15,17-APR-2004,
CHESLINTEX,EQ,21.2,21.2,20,21.1,21,20.7,4500,93071.1,17-APR-2004,
CHLORIDIND,EQ,143.55,146,142.55,145.6,145,145.35,3844,556474.15,17-APR-2004,
CHOLAINV,EQ,64,66.2,62.55,65.05,65,63.15,29601,1922865.75,17-APR-2004,
