SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,159,159.5,156,156.85,156.9,156.95,13062,2055513.45,25-JUN-2006,
3MINDIA,EQ,1215,1215,1215,1215,1215,1167.3,5,6075,25-JUN-2006,
AARTIDRUGS,EQ,82,82,79.05,79.65,79.05,80.15,557,44389.05,25-JUN-2006,
AARTIIND,EQ,41.9,42.5,39.5,40.25,39.5,39.85,35612,1431248.95,25-JUN-2006,
ABANLOYD,EQ,1010.1,1024,950.1,997.45,995,988.3,4467,4474906.6,25-JUN-2006,
ABB,EQ,2350,2360,2275,2296.35,2288.85,2315.9,5385,12425728.2,25-JUN-2006,
ABIRLANUVO,EQ,724,729.9,702,710.1,704.1,678.25,12176,8701751.45,25-JUN-2006,
ABSHEKINDS,EQ,24.6,24.6,23.8,24,24,23.85,8844,212474.65,25-JUN-2006,
ACC,EQ,791,792.9,775,782.35,775.3,786.2,122146,95805849.4,25-JUN-2006,
ADANIEXPO,EQ,137.85,141.9,136.2,138.55,138.15,136.65,78323,10871530.05,25-JUN-2006,
ADHUNIK,EQ,36.4,37,36,36.6,36.4,35.95,12061,440833.7,25-JUN-2006,
ADLABSFILM,EQ,236,244,235.5,236.6,236.4,234.15,22275,5289555.7,25-JUN-2006,
ADORWELD,EQ,363,372.95,363,368.65,370,365.8,411,151689.15,25-JUN-2006,
AEGISCHEM,EQ,178,179.75,175.5,177.5,176.2,172.25,4454,792002.6,25-JUN-2006,
AFTEKINFO,EQ,56.3,56.8,55.75,56.45,56.25,55.55,224817,12674673,25-JUN-2006,
AGRODUTCH,EQ,24,24.75,23.6,23.9,23.9,24.05,30719,734189.75,25-JUN-2006,
AHMEDFORGE,EQ,188,192.9,185,186.5,187,183.9,1355,254285,25-JUN-2006,
AIAENG,EQ,600,613.9,594,600.45,605,599.5,1929,1164384.85,25-JUN-2006,
